Node,Betweenness Centrality
situat,0.0
clinic,0.0
324but,0.0
criteria,0.0
suchman,0.0
code,0.0
system,0.0
325research,0.0
similar,0.0
aim,0.0
relat,0.0
oneach,0.0
326rapport,0.0
327both,0.0
guid,0.0
come,0.0
acknowledg,0.0
taken,0.0
serious,0.0
therebi,0.0
balancebetween,0.0
gain,0.0
abil,0.0
listen,0.0
written,0.0
examin,0.0
want,0.0
decreas,0.0
328effect,0.0
coronari,0.0
appoint,0.0
noncompli,0.0
gen,0.0
intern,0.0
med,0.0
pract,0.0
couns2005,0.0
graugaard,0.0
pk,0.0
holgersen,0.0
vollm,0.0
ba,0.0
tayloran,0.0
effect,0.0
separ,0.0
elabor,0.0
thedisclosur,0.0
work,0.0
good,0.0
end,0.0
asfundament,0.0
trait,0.0
construct,0.0
link,0.0
inhibit,0.0
traumat,0.0
psycholog,0.0
one,0.0
hold,0.0
omit,0.0
nucleu,0.0
tri,0.0
thu,0.0
disput,0.0
characteris,0.0
nuat,0.0
appl,0.0
function,0.0
model,0.0
resolv,0.0
aliteratur,0.0
empath,0.0
rapport,0.0
use,0.0
observ,0.0
basic,0.0
iti,0.0
quickli,0.0
respond,0.0
verbal,0.0
coun,0.0
cue,1.7992730936701573e-05
underli,0.0
concern,0.0
mani,0.0
explicit,0.0
sens,0.0
empathi,0.0
recent,0.0
parallel,0.0
thea,0.0
toward,0.0
neuroreport,0.0
posit,0.0
formal,0.0
instrument,0.0
relationshipbetween,0.0
convey,0.0
accord,0.0
psychotherapi,0.0
per,0.0
anoth,0.0
valenc,0.0
character,0.0
speed,0.0
recoveri,0.0
introduct,0.0
richman,0.0
reapprais,0.0
even,0.0
also,4.498182734175393e-05
indic,0.0
case,0.0
high,0.0
let,0.0
role,0.0
open,0.0
three,0.0
main,0.0
shortcut,0.0
associ,3.5985461873403146e-05
bilater,0.0
nicat,0.0
strong,0.0
porter,0.0
express,0.0
immedi,0.0
automat,0.0
neg,0.0
pictur,0.0
number,0.0
diagnos,0.0
differ,0.0
respons,0.0
tendenc,0.0
video,0.0
neurobehavior,0.0
cognit,0.0
back,0.0
gestur,0.0
therapist,0.0
voluntari,0.0
abl,0.0
experiment,0.0
outsid,0.0
alter,0.0
studi,0.0
accept,0.0
look,0.0
explor,0.0
common,0.0
show,0.0
task,0.0
submittedfor,0.0
public,0.0
biol,0.0
psychiatr,0.0
nonverb,0.0
imit,0.0
signal,0.0
mirror,0.0
movement,0.0
cortex,0.0
acc,0.0
vmpfc,0.0
lpfc,0.0
particular,0.0
dacc,0.0
prefront,0.0
region,0.0
fmri,0.0
area,0.0
macaqu,0.0
amygdala,0.0
impli,0.0
consequ,0.0
perceprt,0.0
psychol,0.0
dobson,0.0
grifﬁth,0.0
quarterly2001,0.0
knudsen,0.0
markowitsch,0.0
j,0.0
dresner,0.0
cancer,0.0
carlsson,0.0
adv,0.0
